0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
8.1,d_19180701,91.6,83.5,53.5,28.3,11.8,0,0.2,0,0,0,0
7.7,d_19180801,92.1,84,57,30.6,8.6,0,0.2,0,0,0,0
9.3,d_19180901,90.3,77.7,28.9,10.8,2.7,0,0.3,0.1,0,0,0
27.1,d_19181001,72.1,52,12.6,1.5,0,0,0.8,0.3,0,0,0
60.7,d_19181101,35.7,13.5,2,0,0,0,3.6,0.7,0,0,0
62.9,d_19181201,21.8,4.3,0,0,0,0,15.2,5,0.2,0,0
66.8,d_19190101,17.6,4.8,0.1,0,0,0,15.6,4.4,0.1,0,0
50.7,d_19190201,21.2,9.2,0,0,0,0,28.1,9.9,0,0,0
44.9,d_19190301,5.2,0,0,0,0,0,49.8,27.7,3.5,0.8,0
33.2,d_19190401,0,0,0,0,0,0,66.8,43.1,11.6,4,1.3
23,d_19190501,1.1,0,0,0,0,0,75.9,67,29.7,17.2,6.2
12.3,d_19190601,0,0,0,0,0,0,87.6,78.9,62.7,39,10.6
11,d_19190701,0,0,0,0,0,0,89,78.9,64.9,49.6,23.9
20,d_19190801,0.8,0,0,0,0,0,79.1,75.5,60.4,45.5,18.5
9.1,d_19190901,0,0,0,0,0,0,90.9,78.4,50.1,40.6,23.1
1.6,d_19191001,0,0,0,0,0,0,98.3,91.9,70.6,54.8,34.5
1.7,d_19191101,0,0,0,0,0,0,98.4,93.3,73.4,58.2,35.4
4.7,d_19191201,0,0,0,0,0,0,95.4,85.6,54.5,41.5,24.6
6.4,d_19200101,0,0,0,0,0,0,93.5,89.1,64.9,49.2,35.9
7.9,d_19200201,1.1,0.4,0,0,0,0,91,85.6,58.5,43.8,26.5
12.3,d_19200301,1,0.5,0,0,0,0,86.7,73.7,42.2,25.7,8.5
27.7,d_19200401,1.8,0.8,0,0,0,0,70.5,56.4,16.4,5.7,0.5
23.1,d_19200501,1,0.6,0,0,0,0,75.9,60.1,28.3,5.2,0.8
47.4,d_19200601,1.6,0.8,0,0,0,0,51,27.4,5.3,2.3,0.5
76.8,d_19200701,14,0.6,0,0,0,0,9.3,3.4,0.3,0,0
41.6,d_19200801,8.1,2,0,0,0,0,50.3,34.2,16.5,5.1,0
39.5,d_19200901,9.7,6.6,0.9,0.2,0,0,50.7,40,8.4,0.7,0
42.1,d_19201001,14.3,10.3,3.1,0.1,0,0,43.6,30,4.3,0.7,0
35.2,d_19201101,11.8,6.7,0.1,0,0,0,52.9,40.4,11.8,2.1,0.1
33.9,d_19201201,12.7,8.9,1.7,0,0,0,53.3,40.5,11.3,2,0.1
24.7,d_19210101,10,6.4,0,0,0,0,65.3,51.5,23.2,7.9,0.5
27.9,d_19210201,12.9,10.4,5.2,0.1,0,0,59.3,45.1,14.7,3.5,0
25.8,d_19210301,12.4,9,3.7,1.7,0,0,61.8,43.5,18.5,7,0.6
23,d_19210401,9.5,4.5,0.8,0,0,0,67.6,46,15.2,4,0
63.3,d_19210501,26.1,7.9,0.4,0,0,0,10.6,6.8,0.7,0.1,0
59.4,d_19210601,2,0.1,0,0,0,0,38.6,20.8,8.8,6.3,1.9
58.7,d_19210701,4.9,0.5,0,0,0,0,36.4,20.2,9.9,6.3,2
55.4,d_19210801,20.1,6.8,0.6,0,0,0,24.5,15.4,8.4,5.1,1.9
52,d_19210901,17.4,4.1,0.2,0,0,0,30.6,20.6,6.7,2.3,1.2
46.4,d_19211001,34.2,19.9,2.9,0.6,0.1,0,19.4,8.3,1.6,0.6,0
43.3,d_19211101,44.4,28.8,9,3.8,0.6,0,12.3,4.6,1.2,0.2,0
37.6,d_19211201,55.3,40.7,14.9,6.3,1.2,0,7.1,3.1,1.2,0.3,0
29.6,d_19220101,60.6,42.6,18.2,5.5,1.4,0,9.9,3.9,1.6,1,0
32.4,d_19220201,53,37.8,13.5,5.5,0.5,0,14.5,6.4,0.3,0,0
31,d_19220301,67.3,57.9,37.1,24.1,13.1,0,1.8,0.2,0,0,0
61.2,d_19220401,27.7,15.8,6.3,4.5,2.2,0,11.1,3.5,0.1,0,0
60,d_19220501,15.4,7.6,1.9,0,0,0,24.6,7.3,1.1,0,0
68.8,d_19220601,9.6,2.3,0,0,0,0,21.5,3.9,0,0,0
54.3,d_19220701,3.4,1.2,0,0,0,0,42.2,20.1,1.1,0,0
48.2,d_19220801,9.2,4.6,1.3,0.4,0,0,42.5,25,6.8,2,0
54.9,d_19220901,10.4,4,0.9,0,0,0,34.8,18.7,6.6,1.2,0
57.4,d_19221001,17.7,7.2,1.1,0,0,0,24.9,11.4,1.2,0.4,0
52,d_19221101,13.2,4.9,0.5,0,0,0,34.9,14.6,2.4,1.4,0.2
57.1,d_19221201,28.6,14.4,3.6,0.2,0,0,14.3,4.5,1.8,1,0
29.5,d_19230101,66.3,50.2,23.7,11.9,1.6,0,4.3,2.5,1.2,0.1,0
37,d_19230201,51.8,38.7,18.3,8.9,0.8,0,11.1,6,3.1,1.6,0.4
38.9,d_19230301,47.6,34.8,11.4,3.5,0,0,13.5,6.2,3.3,1.5,0
52.7,d_19230401,26.8,9.2,0.1,0,0,0,20.5,10,3.5,1.1,0
58.8,d_19230501,23.3,13.3,0.8,0,0,0,17.9,8.9,2,0.2,0
61.3,d_19230601,8.8,2.4,0,0,0,0,29.7,16.1,2.5,0.2,0
60.3,d_19230701,9.7,3,0,0,0,0,30,15.2,3.1,0.5,0
57.3,d_19230801,17.7,7.2,0.2,0,0,0,25,11.1,2.4,0.4,0
46.8,d_19230901,6,0.8,0,0,0,0,47.3,29.1,9.3,6.3,2.7
37.9,d_19231001,0.9,0,0,0,0,0,61.1,48.5,20.4,12.4,8.5
39.7,d_19231101,8.8,2.2,0,0,0,0,51.5,32.6,16.9,12.2,8.5
32.1,d_19231201,2.2,1,0.1,0,0,0,65.7,45.9,20.5,13.5,8.9
43,d_19240101,3.7,0.7,0,0,0,0,53.2,32.7,14,10.2,7
22.2,d_19240201,1.1,0.7,0,0,0,0,76.8,57.6,19.6,11,8
